"","Sample","Cattle_ID","Life_stage","Sex","Predeliction","A..variegatum","A..coharenses","B..annulatus","B..decoloratus","B..geigyi","H..laechi","R..gulhoni","R..lunulatus","R..muhsame","R..sanguineus","R..senegalensis","R..gemma","Boophilus.sp.","R..quilhoni","A.gemma","R.fanguineus"
"152","S1",7,"Adult","Male","Belly",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"153","S1",7,"Adult","Male","Head",3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"154","S1",7,"Adult","Male","Tail",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"155","S1",7,"Adult","Male","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","S1",7,"Adult","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"157","S1",7,"Nymph","Female","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"158","S1",7,"Nymph","Female","Belly",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"159","S1",7,"Nymph","Female","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","S1",7,"Nymph","Female","Tail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","S1",7,"Nymph","Female","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","S1",7,"Nymph","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163","S1",7,"Nymph","Male","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","S1",7,"Nymph","Male","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","S1",7,"Nymph","Male","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166","S1",7,"Nymph","Male","Tail",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","S1",7,"Nymph","Male","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","S1",7,"Nymph","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","S1",8,"Adult","Female","Leg",0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0
"170","S1",8,"Adult","Female","Belly",0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","S1",8,"Adult","Female","Head",0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0
"172","S1",8,"Adult","Female","Tail",0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0
"173","S1",8,"Adult","Female","Neck",0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0
"174","S1",8,"Adult","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","S1",8,"Adult","Male","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","S1",8,"Adult","Male","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","S1",8,"Adult","Male","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","S1",8,"Adult","Male","Tail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","S1",8,"Adult","Male","Neck",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","S1",8,"Adult","Male","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","S1",8,"Nymph","Female","Leg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"182","S1",8,"Nymph","Female","Belly",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","S1",8,"Nymph","Female","Head",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"184","S1",8,"Nymph","Female","Tail",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","S1",8,"Nymph","Female","Neck",0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"186","S1",8,"Nymph","Female","Shoulder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187","S1",8,"Nymph","Male","Leg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"188","S1",8,"Nymph","Male","Belly",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
